6.875, 12.5, 1
8.025, 13.25, 1
7.575, 14.55, 1
5.525, 13.4, 1
10.125, 13.6, 1
3.125, 10.45, 1
8.525, 11, 1
4.175, 11.95, 1
13.025, 13.4, 1
12.525, 16.9, 1
10.175, 15.25, 1
12.775, 15.15, 1
12.025, 13.15, 1
10.125, 11.5, 1
7.075, 9.65, 1
4.525, 10.3, 1
4.825, 11.55, 1
6.475, 11, 1
9.925, 11.85, 1
11.475, 11.65, 1
14.425, 12.85, 1
14.775, 14.25, 1
14.775, 16.05, 1
5.675, 6.5, 1
4.275, 7.65, 1
2.125, 7, 1
2.325, 5.3, 1
4.325, 5.8, 1
4.275, 6.65, 1
3.275, 7.15, 1
3.225, 8.65, 1
5.925, 8.85, 1
7.175, 7.95, 1
15.925, 5.5, 2
16.325, 6.9, 2
17.575, 8.25, 2
18.575, 9.3, 2
20.275, 9.45, 2
20.525, 9.4, 2
20.375, 7.85, 2
19.675, 6.9, 2
17.825, 5.05, 2
15.925, 3.15, 2
14.525, 2.8, 2
12.875, 3.15, 2
10.725, 3.15, 2
9.875, 2.4, 2
9.875, 1.8, 2
12.325, 1.5, 2
16.075, 1.45, 2
17.925, 1.5, 2
19.325, 3.15, 2
20.225, 4.45, 2
21.625, 6.9, 2
21.875, 7.6, 2
22.025, 9.2, 2
22.025, 10.75, 2
22.025, 11.5, 2
20.475, 12.05, 2
19.125, 12.8, 2
19.125, 14.3, 2
21.125, 15.2, 2
22.375, 15.3, 2
23.225, 15.15, 2
23.625, 13.8, 2
23.625, 11.65, 2
23.625, 10, 2
23.625, 8.45, 2
24.025, 7.15, 2
24.375, 6.95, 2
24.875, 8.5, 2
25.375, 11.15, 2
25.825, 13.85, 2
25.825, 14.15, 2
27.675, 12.25, 2
27.725, 9.95, 2
27.025, 7.7, 2
25.225, 4.85, 2
22.925, 3.15, 2
20.575, 2.6, 2
19.175, 4.85, 2
19.175, 6.65, 2
19.775, 9.05, 2
21.075, 12.25, 2
21.475, 13.15, 2
21.025, 13.55, 2
18.275, 12.3, 2
17.125, 9.95, 2
16.475, 8.55, 2
14.275, 5.5, 2
13.725, 4.45, 2
21.725, 5.7, 2
9.025, 14.55, 1
9.025, 15.95, 1
13.175, 17.65, 1
15.675, 17.65, 1
16.775, 17.15, 1
11.725, 12.25, 1
8.075, 11.4, 1
